STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,HDSD,HTDD,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowfall,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,NormalsHeatingDegreeDay,WindEquipmentChangeDate
72518014735,2021-03-31T23:59:00,SOM  ,6,10.7,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,0,5834,884,6,5,25,0,0,4,1.4,0,-45,3.2,-0.5,-1.42,0.6,18-18,1,0.8,30.61,21,828,47.6,36.4,29.4,28,1651,25.2,30.13,29.79,1.79,929,08-09-2006
72518014735,2021-04-30T23:59:00,SOM  ,6,8.1,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,0,6382,548,14,6,8,0,0,0,-1.1,-4,28,-0.8,-1.4,0.75,1.61,29-30,T,0.3,30.36,3,827,57.5,46.7,29.39,30,1151,35.9,29.89,29.13,3.92,520,08-09-2006
72518014735,2021-05-31T23:59:00,SOM  ,6,7.4,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",27,27,0,6699,317,11,8,1,0,0,0,-2.7,1,82,-2.4,-2.8,-0.54,0.79,04-May,0,0,30.48,21,852,67,55.6,29.67,2,1051,44.3,30.06,29.73,3.07,235,08-09-2006
72518014735,2021-06-30T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",177,149,0,6751,52,10,10,0,4,0,0,1,31,0,1.1,0.9,-1.09,0.89,14-14,0,0,30.38,24,751,79,68.2,29.49,21,1744,57.4,29.97,29.66,2.7,52,08-09-2006
72518014735,2021-07-31T23:59:00,SOM  ,6,6,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",290,114,0,26,26,21,17,0,0,0,0,-4,-104,21,-5.8,-2.2,4.84,1.97,11-Dec,0,0,30.25,13,755,76.5,67.8,29.62,29,1851,59.2,29.96,29.65,8.96,5,08-09-2006
72518014735,2021-08-31T23:59:00,SOM  ,6,5.4,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",481,190,0,33,7,12,8,0,0,0,0,0.8,13,-11,-0.2,1.7,-0.03,0.84,22-23,0,0,30.3,28,1004,80.2,70.9,29.74,31,1708,61.6,30.03,28.86,3.43,18,08-09-2006
72518014735,2021-09-30T23:59:00,SOM  ,6,6.3,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",509,28,0,146,113,12,10,0,0,0,0,0.3,-23,-31,-0.5,1,2.44,2.04,23-24,0,0,30.37,21,909,71.7,62.2,29.7,8,1651,52.6,29.99,29.69,5.74,144,08-09-2006
72518014735,2021-10-31T23:59:00,SOM  ,6,4.9,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",511,2,0,402,256,15,10,0,0,0,0,7.1,-2,-222,5.6,8.6,3.5,1.65,04-Apr,0,0,30.42,6,948,65.4,56.8,29.46,31,551,48.2,29.99,29.67,7.18,478,08-09-2006
72518014735,2021-11-30T23:59:00,SOM  ,6,6.3,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",511,0,1,1187,785,10,4,23,0,0,0,-0.9,0,26,0.6,-2.4,-1,1.17,12-Dec,1,1.1,30.57,20,1029,48.5,38.8,29.56,26,1500,29.1,30.07,29.74,2.29,759,08-09-2006
72518014735,2021-12-31T23:59:00,SOM  ,6,7.8,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",511,0,2,2080,893,17,7,22,0,0,3,7.6,0,-238,7,8.2,-0.28,0.67,25-26,1,1.9,30.71,15,301,42.8,36.1,29.37,11,2051,29.4,30.01,29.68,2.65,1131,08-09-2006
72518014735,2022-01-31T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,2,3479,1399,10,3,30,0,6,22,-2.9,0,83,-1.6,-4,-1.31,0.66,16-17,4,3.7,30.68,21,1051,29,19.7,28.98,17,1351,10.5,30.08,29.75,1.28,1316,08-09-2006
72518014735,2022-02-28T23:59:00,SOM  ,6,10.3,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,2,4526,1047,10,6,26,0,1,11,1.6,0,-46,3,0,0.57,1.25,03-Apr,6,6.4,30.73,16,53,37.6,27.5,29.16,18,451,17.3,30.17,29.85,2.77,1093,08-09-2006
72518014735,2022-03-31T23:59:00,SOM  ,6,9.2,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,2,5383,857,14,7,20,0,0,3,2.3,0,-72,2.8,1.7,0.14,1.01,31-31,4,4.6,30.57,4,902,47.2,37.3,29.34,7,1951,27.4,29.98,29.33,3.35,929,08-09-2006
72518014735,2022-04-30T23:59:00,SOM  ,6,9.6,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,1,5898,515,14,10,6,0,0,0,0,-4,-5,0.1,0,1.83,2.24,07-Aug,3,2.6,30.5,20,2354,58.4,47.8,29.49,1,151,37.3,29.98,29.66,5,520,08-09-2006
72518014735,2022-05-31T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",84,84,0,6035,137,10,5,0,3,0,0,5,58,-98,5.7,4.4,-1.76,0.52,16-17,0,0,30.47,10,922,75.1,63.3,29.47,16,1516,51.5,30.04,29.72,1.85,235,08-09-2006
